
number of params: 3072 

epoch: 58 avg_loss: 1.0302, acc: 0.6501 
val --- avg_loss: 0.8002, acc: 1.0000  

epoch: 59 avg_loss: 1.0223, acc: 0.6527 
val --- avg_loss: 0.7918, acc: 1.0000  

epoch: 60 avg_loss: 1.0145, acc: 0.6544 
val --- avg_loss: 0.7811, acc: 1.0000  

epoch: 61 avg_loss: 1.0068, acc: 0.6550 
val --- avg_loss: 0.7702, acc: 1.0000  

epoch: 62 avg_loss: 0.9991, acc: 0.6570 
val --- avg_loss: 0.7625, acc: 1.0000  

epoch: 63 avg_loss: 0.9919, acc: 0.6584 
val --- avg_loss: 0.7548, acc: 1.0000  

epoch: 64 avg_loss: 0.9843, acc: 0.6605 
val --- avg_loss: 0.7460, acc: 1.0000  

epoch: 65 avg_loss: 0.9771, acc: 0.6613 
val --- avg_loss: 0.7372, acc: 1.0000  

epoch: 66 avg_loss: 0.9700, acc: 0.6642 
val --- avg_loss: 0.7295, acc: 1.0000  

epoch: 67 avg_loss: 0.9629, acc: 0.6650 
val --- avg_loss: 0.7210, acc: 1.0000  

epoch: 68 avg_loss: 0.9558, acc: 0.6659 
val --- avg_loss: 0.7152, acc: 1.0000  

epoch: 69 avg_loss: 0.9493, acc: 0.6668 
val --- avg_loss: 0.7055, acc: 1.0000  

epoch: 70 avg_loss: 0.9422, acc: 0.6691 
val --- avg_loss: 0.6978, acc: 1.0000  

epoch: 71 avg_loss: 0.9354, acc: 0.6714 
val --- avg_loss: 0.6910, acc: 1.0000  

epoch: 72 avg_loss: 0.9289, acc: 0.6734 
val --- avg_loss: 0.6830, acc: 1.0000  

epoch: 73 avg_loss: 0.9222, acc: 0.6745 
val --- avg_loss: 0.6760, acc: 1.0000  

epoch: 74 avg_loss: 0.9159, acc: 0.6748 
val --- avg_loss: 0.6683, acc: 1.0000  

epoch: 75 avg_loss: 0.9093, acc: 0.6768 
val --- avg_loss: 0.6614, acc: 1.0000  

epoch: 76 avg_loss: 0.9031, acc: 0.6788 
val --- avg_loss: 0.6559, acc: 1.0000  

epoch: 77 avg_loss: 0.8971, acc: 0.6802 
val --- avg_loss: 0.6472, acc: 1.0000  

epoch: 78 avg_loss: 0.8907, acc: 0.6817 
val --- avg_loss: 0.6411, acc: 1.0000  

epoch: 79 avg_loss: 0.8847, acc: 0.6837 
val --- avg_loss: 0.6341, acc: 1.0000  

epoch: 80 avg_loss: 0.8786, acc: 0.6848 
val --- avg_loss: 0.6283, acc: 1.0000  

epoch: 81 avg_loss: 0.8728, acc: 0.6863 
val --- avg_loss: 0.6244, acc: 1.0000  

epoch: 82 avg_loss: 0.8668, acc: 0.6874 
val --- avg_loss: 0.6170, acc: 1.0000  

epoch: 83 avg_loss: 0.8611, acc: 0.6886 
val --- avg_loss: 0.6112, acc: 1.0000  

epoch: 84 avg_loss: 0.8552, acc: 0.6903 
val --- avg_loss: 0.6053, acc: 1.0000  

epoch: 85 avg_loss: 0.8497, acc: 0.6911 
val --- avg_loss: 0.5985, acc: 1.0000  

epoch: 86 avg_loss: 0.8440, acc: 0.6923 
val --- avg_loss: 0.5934, acc: 1.0000  

epoch: 87 avg_loss: 0.8385, acc: 0.6934 
val --- avg_loss: 0.5877, acc: 1.0000  

epoch: 88 avg_loss: 0.8329, acc: 0.6954 
val --- avg_loss: 0.5820, acc: 1.0000  

epoch: 89 avg_loss: 0.8276, acc: 0.6977 
val --- avg_loss: 0.5750, acc: 1.0000  

epoch: 90 avg_loss: 0.8222, acc: 0.7000 
val --- avg_loss: 0.5699, acc: 1.0000  

epoch: 91 avg_loss: 0.8168, acc: 0.7026 
val --- avg_loss: 0.5643, acc: 1.0000  

epoch: 92 avg_loss: 0.8116, acc: 0.7040 
val --- avg_loss: 0.5602, acc: 1.0000  

epoch: 93 avg_loss: 0.8065, acc: 0.7069 
val --- avg_loss: 0.5534, acc: 1.0000  

epoch: 94 avg_loss: 0.8013, acc: 0.7078 
val --- avg_loss: 0.5498, acc: 1.0000  

epoch: 95 avg_loss: 0.7961, acc: 0.7115 
val --- avg_loss: 0.5441, acc: 1.0000  

epoch: 96 avg_loss: 0.7911, acc: 0.7129 
val --- avg_loss: 0.5389, acc: 1.0000  

epoch: 97 avg_loss: 0.7862, acc: 0.7147 
val --- avg_loss: 0.5347, acc: 1.0000  

epoch: 98 avg_loss: 0.7812, acc: 0.7175 
val --- avg_loss: 0.5290, acc: 1.0000  

epoch: 99 avg_loss: 0.7762, acc: 0.7184 
val --- avg_loss: 0.5244, acc: 1.0000  

epoch: 100 avg_loss: 0.7715, acc: 0.7204 
val --- avg_loss: 0.5201, acc: 1.0000  

epoch: 101 avg_loss: 0.7666, acc: 0.7218 
val --- avg_loss: 0.5161, acc: 1.0000  

epoch: 102 avg_loss: 0.7618, acc: 0.7256 
val --- avg_loss: 0.5111, acc: 1.0000  

epoch: 103 avg_loss: 0.7572, acc: 0.7273 
val --- avg_loss: 0.5074, acc: 1.0000  

epoch: 104 avg_loss: 0.7524, acc: 0.7299 
val --- avg_loss: 0.5029, acc: 1.0000  

epoch: 105 avg_loss: 0.7480, acc: 0.7313 
val --- avg_loss: 0.4984, acc: 1.0000  

epoch: 106 avg_loss: 0.7434, acc: 0.7336 
val --- avg_loss: 0.4949, acc: 1.0000  

epoch: 107 avg_loss: 0.7389, acc: 0.7359 
val --- avg_loss: 0.4895, acc: 1.0000  

epoch: 108 avg_loss: 0.7344, acc: 0.7367 
val --- avg_loss: 0.4856, acc: 1.0000  

epoch: 109 avg_loss: 0.7299, acc: 0.7376 
val --- avg_loss: 0.4815, acc: 1.0000  

epoch: 110 avg_loss: 0.7255, acc: 0.7393 
val --- avg_loss: 0.4768, acc: 1.0000  

epoch: 111 avg_loss: 0.7211, acc: 0.7405 
val --- avg_loss: 0.4730, acc: 1.0000  

epoch: 112 avg_loss: 0.7168, acc: 0.7419 
val --- avg_loss: 0.4685, acc: 1.0000  

epoch: 113 avg_loss: 0.7126, acc: 0.7456 
val --- avg_loss: 0.4664, acc: 1.0000  

epoch: 114 avg_loss: 0.7083, acc: 0.7479 
